Sample,latitude,longitude,elev_m,max_depth_cm,slope_perc,Horizon,landform,Mapped.Lithologic.unit,Parent.Material,bulk.density.vol.cm3,bulk.density.g.cm3,pH,soilmoisture_perc,TC_perc,OC_perc,Nitrogen_ppm,TN_perc,TC_perc_2
HLEF-19-118,58.37823,-134.54806,300,85,65,2BC,backslope,Taku,Slate or Phyllite - Colluvium,,,4.85,,,,,0.157,4.121
HLEF-19-119,58.37823,-134.54806,300,112,65,3Bsg,backslope,Taku,Slate or Phyllite - Colluvium,,,4.95,,,,,0.159,3.282
HLEF-19-120,58.37823,-134.54806,300,145,65,3BCg,backslope,Taku,Slate or Phyllite - Colluvium,,,4.85,,,,,0.253,5.891
HLEF-19-121,58.37823,-134.54806,300,,65,4Cr,backslope,Taku,Slate or Phyllite - Colluvium,,,,,,,,0.059,0.655
HLEF-19-122,58.37823,-134.54806,300,15,65,Oi,backslope,Taku,Slate or Phyllite - Colluvium,125,0.2,,,,,,,
HLEF-19-123,58.37823,-134.54806,300,23,65,E,backslope,Taku,Slate or Phyllite - Colluvium,138.5,0.3,,,,,,,
HLEF-19-124,58.37823,-134.54806,300,23,65,E,backslope,Taku,Slate or Phyllite - Colluvium,138.5,0.32,,,,,,,
HLEF-19-125,58.37823,-134.54806,300,28,65,Bh,backslope,Taku,Slate or Phyllite - Colluvium,138.5,0.3,,,,,,,
HLEF-19-126,58.37823,-134.54806,300,28,65,Bh,backslope,Taku,Slate or Phyllite - Colluvium,138.5,0.36,,,,,,,
HLEF-19-127,58.37823,-134.54806,300,54,65,Bhs/Bs,backslope,Taku,Slate or Phyllite - Colluvium,138.5,0.35,,,,,,,
HLEF-19-128,58.37823,-134.54806,300,54,65,Bhs/Bs,backslope,Taku,Slate or Phyllite - Colluvium,138.5,0.38,,,,,,,
HLEF-19-129,58.37977,-134.55011,350,6,60,Oi,backslope,Taku,Slate or Phyllite - Colluvium,,,3.84,,,,,0.915,44.297
HLEF-19-130,58.37977,-134.55011,350,10,60,Oe,backslope,Taku,Slate or Phyllite - Colluvium,125,0.2,4.05,,,,,1.083,40.063
HLEF-19-131,58.37977,-134.55011,350,16,60,E,backslope,Taku,Slate or Phyllite - Colluvium,138.5,0.49,3.76,,,,,0.359,6.193
HLEF-19-132,58.37977,-134.55011,350,26,60,Bhs,backslope,Taku,Slate or Phyllite - Colluvium,138.5,0.45,4.31,,,,,0.411,10.657
HLEF-19-133,58.37977,-134.55011,350,48,60,Bs,backslope,Taku,Slate or Phyllite - Colluvium,138.5,0.43,4.64,,,,,0.215,5.321
HLEF-19-134,58.37977,-134.55011,350,55,60,Eb,backslope,Taku,Slate or Phyllite - Colluvium,,,4.65,,,,,0.095,2.032
HLEF-19-135,58.37977,-134.55011,350,72,60,B/C,backslope,Taku,Slate or Phyllite - Colluvium,,,4.64,,,,,0.158,4.196
HLEF-19-136,58.37977,-134.55011,350,,60,Cr,backslope,Taku,Slate or Phyllite - Colluvium,,,,,,,,0.186,4.836
HLEF-19-137,58.37977,-134.55011,350,10,60,Oe,backslope,Taku,Slate or Phyllite - Colluvium,125,0.19,,,,,,,
HLEF-19-138,58.37977,-134.55011,350,10,60,Oe,backslope,Taku,Slate or Phyllite - Colluvium,125,0.22,,,,,,,
HLEF-19-139,58.37977,-134.55011,350,16,60,E,backslope,Taku,Slate or Phyllite - Colluvium,138.5,0.55,,,,,,,
HLEF-19-140,58.37977,-134.55011,350,16,60,E,backslope,Taku,Slate or Phyllite - Colluvium,138.5,0.43,,,,,,,
HLEF-19-141,58.37977,-134.55011,350,26,60,Bhs,backslope,Taku,Slate or Phyllite - Colluvium,138.5,0.4,,,,,,,
HLEF-19-142,58.37977,-134.55011,350,26,60,Bhs,backslope,Taku,Slate or Phyllite - Colluvium,138.5,0.5,,,,,,,
HLEF-19-143,58.37977,-134.55011,350,48,60,Bs,backslope,Taku,Slate or Phyllite - Colluvium,138.5,0.46,,,,,,,
HLEF-19-144,58.37977,-134.55011,350,48,60,Bs,backslope,Taku,Slate or Phyllite - Colluvium,138.5,0.41,,,,,,,
HLEF-19-145,58.42285,-134.75397,150,5,70,Oi,backslope,Gravina volcanic,Volcanic graywacke? - Colluvium,125,0.16,4.13,,,,,1.148,47.667
HLEF-19-146,58.42285,-134.75397,150,15,70,Oe,backslope,Gravina volcanic,Volcanic graywacke? - Colluvium,,,3.77,,,,,,
HLEF-19-147,58.42285,-134.75397,150,20,70,O/E,backslope,Gravina volcanic,Volcanic graywacke? - Colluvium,,,3.79,,,,,0.278,9.187
HLEF-19-148,58.42285,-134.75397,150,,70,Bs/Cr,backslope,Gravina volcanic,Volcanic graywacke? - Colluvium,138.5,0.27,5.39,,,,,0.237,6.912
HLEF-19-149,58.42285,-134.75397,150,5,70,Oi,backslope,Gravina volcanic,Volcanic graywacke? - Colluvium,125,0.17,,,,,,,
HLEF-19-150,58.42285,-134.75397,150,5,70,Oi,backslope,Gravina volcanic,Volcanic graywacke? - Colluvium,125,0.15,,,,,,,
HLEF-19-151,58.42285,-134.75397,150,,70,Bs/Cr,backslope,Gravina volcanic,Volcanic graywacke? - Colluvium,138.5,0.31,,,,,,,
HLEF-19-152,58.42285,-134.75397,150,,70,Bs/Cr,backslope,Gravina volcanic,Volcanic graywacke? - Colluvium,138.5,0.22,,,,,,,
HLEF-19-153,58.42285,-134.75397,150,,70,Cr,backslope,Gravina volcanic,Volcanic graywacke? - Colluvium,,,,,,,,,
HLEF-19-154,58.34771,-134.48257,150,9,40,O,backslope,Taku,Phyllite - Colluvium,125,0.13,3.82,,,,,1.246,45.128
HLEF-19-155,58.34771,-134.48257,150,18,40,Bh,backslope,Taku,Phyllite - Colluvium,138.5,0.24,4.12,,,,,0.353,6.457
HLEF-19-156,58.34771,-134.48257,150,27,40,Bhs,backslope,Taku,Phyllite - Colluvium,138.5,0.54,4.45,,,,,0.168,3.034
HLEF-19-157,58.34771,-134.48257,150,48,40,Bs,backslope,Taku,Phyllite - Colluvium,138.5,0.63,4.89,,,,,0.064,0.841
HLEF-19-158,58.34771,-134.48257,150,110,40,2BC,backslope,Taku,Phyllite - Colluvium,,,5.25,,,,,0.26,3.567
HLEF-19-159,58.34771,-134.48257,150,,40,2R,backslope,Taku,Phyllite - Colluvium,,,,,,,,0,0.148
HLEF-19-160,58.34771,-134.48257,150,9,40,O,backslope,Taku,Phyllite - Colluvium,125,0.13,,,,,,,
HLEF-19-161,58.34771,-134.48257,150,9,40,O,backslope,Taku,Phyllite - Colluvium,125,0.12,,,,,,,
HLEF-19-162,58.34771,-134.48257,150,18,40,Bh,backslope,Taku,Phyllite - Colluvium,138.5,0.19,,,,,,,
HLEF-19-163,58.34771,-134.48257,150,18,40,Bh,backslope,Taku,Phyllite - Colluvium,138.5,0.28,,,,,,,
HLEF-19-164,58.34771,-134.48257,150,27,40,Bhs,backslope,Taku,Phyllite - Colluvium,138.5,0.66,,,,,,,
HLEF-19-165,58.34771,-134.48257,150,27,40,Bhs,backslope,Taku,Phyllite - Colluvium,138.5,0.42,,,,,,,
HLEF-19-166,58.34771,-134.48257,150,48,40,Bs,backslope,Taku,Phyllite - Colluvium,138.5,0.68,,,,,,,
HLEF-19-167,58.34771,-134.48257,150,48,40,Bs,backslope,Taku,Phyllite - Colluvium,138.5,0.57,,,,,,,
HLEF-19-168,58.38634,-134.612,140,5,40,Oe,backslope,Gravina,Volcanic - Colluvium,125,0.13,4.04,,,,,1.332,44.901
HLEF-19-169,58.38634,-134.612,140,9,40,E,backslope,Gravina,Volcanic - Colluvium,138.5,0.42,3.57,,,,,0.33,6.09
HLEF-19-170,58.38634,-134.612,140,21,40,Bhs,backslope,Gravina,Volcanic - Colluvium,138.5,0.44,4.22,,,,,0.32,7.76
HLEF-19-171,58.38634,-134.612,140,41,40,Bs,backslope,Gravina,Volcanic - Colluvium,138.5,0.55,4.44,,,,,0.17,3.69
HLEF-19-172,58.38634,-134.612,140,55,40,2E,backslope,Gravina,Volcanic - Colluvium,138.5,0.56,4.16,,,,,0.17,4.14
HLEF-19-173,58.38634,-134.612,140,105,40,3BC(g)?,backslope,Gravina,Volcanic - Colluvium,,,5,,,,,0.16,4.15
HLEF-19-174,58.38634,-134.612,140,,40,3C,backslope,Gravina,Volcanic - Colluvium,,,5.07,,,,,0.08,2.83
HLEF-19-175,58.38634,-134.612,140,5,40,Oe,backslope,Gravina,Volcanic - Colluvium,125,0.13,,,,,,,
HLEF-19-176,58.38634,-134.612,140,5,40,Oe,backslope,Gravina,Volcanic - Colluvium,125,0.13,,,,,,,
HLEF-19-177,58.38634,-134.612,140,9,40,E,backslope,Gravina,Volcanic - Colluvium,138.5,0.35,,,,,,,
HLEF-19-178,58.38634,-134.612,140,9,40,E,backslope,Gravina,Volcanic - Colluvium,138.5,0.48,,,,,,,
HLEF-19-179,58.38634,-134.612,140,21,40,Bhs,backslope,Gravina,Volcanic - Colluvium,138.5,0.45,,,,,,,
HLEF-19-180,58.38634,-134.612,140,21,40,Bhs,backslope,Gravina,Volcanic - Colluvium,138.5,0.43,,,,,,,
HLEF-19-181,58.38634,-134.612,140,41,40,Bs,backslope,Gravina,Volcanic - Colluvium,138.5,0.58,,,,,,,
HLEF-19-182,58.38634,-134.612,140,41,40,Bs,backslope,Gravina,Volcanic - Colluvium,138.5,0.52,,,,,,,
HLEF-19-183,58.38634,-134.612,140,55,40,2E,backslope,Gravina,Volcanic - Colluvium,138.5,0.56,,,,,,,
HLEF-19-184,58.38634,-134.612,140,55,40,2E,backslope,Gravina,Volcanic - Colluvium,138.5,0.56,,,,,,,
HLEF-19-185,58.38384,-134.62649,140,5,50,Oe,backslope,Gravina,Slate - Colluvium,125,0.26,4.25,,,,,1.53,37.288
HLEF-19-186,58.38384,-134.62649,140,13,50,E,backslope,Gravina,Slate - Colluvium,138,0.42,3.78,,,,,0.54,8.304
HLEF-19-187,58.38384,-134.62649,140,16,50,Bh,backslope,Gravina,Slate - Colluvium,138,0.27,4.16,,,,,0.816,16.009
HLEF-19-188,58.38384,-134.62649,140,25,50,Bhs,backslope,Gravina,Slate - Colluvium,138.5,0.33,4.75,,,,,0.428,10.002
HLEF-19-189,58.38384,-134.62649,140,42,50,Bhs2,backslope,Gravina,Slate - Colluvium,138.5,0.34,4.69,,,,,0.282,5.204
HLEF-19-190,58.38384,-134.62649,140,100,50,Bs,backslope,Gravina,Slate - Colluvium,138.5,0.39,4.82,,,,,0.194,2.897
HLEF-19-191,58.38384,-134.62649,140,,50,2Cr,backslope,Gravina,Slate - Colluvium,,,5.11,,,,,0.1,0.914
HLEF-19-192,58.38384,-134.62649,140,5,50,Oe,backslope,Gravina,Slate - Colluvium,125,0.22,,,,,,,
HLEF-19-193,58.38384,-134.62649,140,5,50,Oe,backslope,Gravina,Slate - Colluvium,125,0.3,,,,,,,
HLEF-19-194,58.38384,-134.62649,140,13,50,E,backslope,Gravina,Slate - Colluvium,138.5,0.42,,,,,,,
HLEF-19-195,58.38384,-134.62649,140,13,50,E,backslope,Gravina,Slate - Colluvium,138.5,0.41,,,,,,,
HLEF-19-196,58.38384,-134.62649,140,16,50,Bh,backslope,Gravina,Slate - Colluvium,138.5,0.29,,,,,,,
HLEF-19-197,58.38384,-134.62649,140,16,50,Bh,backslope,Gravina,Slate - Colluvium,138.5,0.26,,,,,,,
HLEF-19-198,58.38384,-134.62649,140,25,50,Bhs,backslope,Gravina,Slate - Colluvium,138.5,0.36,,,,,,,
HLEF-19-199,58.38384,-134.62649,140,25,50,Bhs,backslope,Gravina,Slate - Colluvium,138.5,0.3,,,,,,,
HLEF-19-200,58.38384,-134.62649,140,42,50,Bhs2,backslope,Gravina,Slate - Colluvium,138.5,0.36,,,,,,,
HLEF-19-201,58.38384,-134.62649,140,42,50,Bhs2,backslope,Gravina,Slate - Colluvium,138.5,0.31,,,,,,,
HLEF-19-202,58.38384,-134.62649,140,100,50,Bs,backslope,Gravina,Slate - Colluvium,138.5,0.37,,,,,,,
HLEF-19-203,58.38384,-134.62649,140,100,50,Bs,backslope,Gravina,Slate - Colluvium,138.5,0.41,,,,,,,
HLEF-19-204,58.36,-134.3,2100,0,0,rock pavement,Ridgetop,Tonalite,Tonalite - sediments in rock fracture,,,5.62,,,,,0.02,0.371
HLEF-19-205,58.36,-134.3,2100,5,0,A,Ridgetop,Tonalite,Tonalite - sediments in rock fracture,138,0.81,5.92,,,,,0.022,0.366
HLEF-19-206,58.36,-134.3,2100,28,0,Bw/C,Ridgetop,Tonalite,Tonalite - sediments in rock fracture,138,0.88,6.32,,,,,0.043,0.685
HLEF-19-207,58.36,-134.3,2100,,0,R,Ridgetop,Tonalite,Tonalite - sediments in rock fracture,,,,,,,,0,0.078
HLEF-19-208,58.36,-134.3,2100,5,0,A,Ridgetop,Tonalite,Tonalite - sediments in rock fracture,138.5,0.88,,,,,,,
HLEF-19-209,58.36,-134.3,2100,5,0,A,Ridgetop,Tonalite,Tonalite - sediments in rock fracture,138.5,0.74,,,,,,,
HLEF-19-210,58.36,-134.3,2100,28,0,Bw/C,Ridgetop,Tonalite,Tonalite - sediments in rock fracture,138.5,0.73,,,,,,,
HLEF-19-211,58.36,-134.3,2100,28,0,Bw/C,Ridgetop,Tonalite,Tonalite - sediments in rock fracture,138.5,1.03,,,,,,,
HLEF-19-212,58.37715,-134.55917,180,9,80,Oi,backslope,Gravina,Volcanic - Colluvium,125,0.12,3.91,,,,,1.193,44.765
HLEF-19-213,58.37715,-134.55917,180,19,80,E/Bh,backslope,Gravina,Volcanic - Colluvium,138.5,0.38,4.24,,,,,0.499,11.921
HLEF-19-214,58.37715,-134.55917,180,33,80,Bhs,backslope,Gravina,Volcanic - Colluvium,138.5,0.4,4.98,,,,,0.221,5.665
HLEF-19-215,58.37715,-134.55917,180,70,80,BCg,backslope,Gravina,Volcanic - Colluvium,138.5,0.5,5.28,,,,,0.125,3.928
HLEF-19-216,58.37715,-134.55917,180,,80,2BC,backslope,Gravina,Volcanic - Colluvium,,,5.55,,,,,0.147,4.116
HLEF-19-217,58.37715,-134.55917,180,,80,rock,backslope,Gravina,Volcanic - Colluvium,,,,,,,,0.007,0.051
HLEF-19-218,58.37715,-134.55917,180,,80,rock,backslope,Gravina,Volcanic - Colluvium,,,,,,,,0.012,0.356
HLEF-19-219,58.37715,-134.55917,180,9,80,Oi,backslope,Gravina,Volcanic - Colluvium,125,0.12,,,,,,,
HLEF-19-220,58.37715,-134.55917,180,9,80,Oi,backslope,Gravina,Volcanic - Colluvium,125,0.13,,,,,,,
HLEF-19-221,58.37715,-134.55917,180,19,80,E/Bh,backslope,Gravina,Volcanic - Colluvium,138.5,0.26,,,,,,,
HLEF-19-222,58.37715,-134.55917,180,19,80,E/Bh,backslope,Gravina,Volcanic - Colluvium,138.5,0.49,,,,,,,
HLEF-19-223,58.37715,-134.55917,180,33,80,Bhs,backslope,Gravina,Volcanic - Colluvium,138.5,0.4,,,,,,,
HLEF-19-224,58.37715,-134.55917,180,33,80,Bhs,backslope,Gravina,Volcanic - Colluvium,138.5,0.4,,,,,,,
HLEF-19-225,58.37715,-134.55917,180,70,80,BCg,backslope,Gravina,Volcanic - Colluvium,138.5,0.5,,,,,,,
HLEF-19-226,58.37715,-134.55917,180,70,80,BCg,backslope,Gravina,Volcanic - Colluvium,138.5,0.5,,,,,,,
HLEF-19-227,58.39552,-134.65585,180,5,76,Oi,backslope,Gravina Sedimentary,Slate - Colluvium,125,0.2,4.46,,,,,1.317,46.007
HLEF-19-228,58.39552,-134.65585,180,13,76,E/Bh,backslope,Gravina Sedimentary,Slate - Colluvium,138,0.31,3.85,,,,,0.42,9.14
HLEF-19-229,58.39552,-134.65585,180,37,76,Bhs/Bs,backslope,Gravina Sedimentary,Slate - Colluvium,138,0.34,4.93,,,,,0.22,5.58
HLEF-19-230,58.39552,-134.65585,180,73,76,2BC1,backslope,Gravina Sedimentary,Slate - Colluvium,138,0.51,5.2,,,,,0.13,3.24
HLEF-19-231,58.39552,-134.65585,180,106,76,2BC2,backslope,Gravina Sedimentary,Slate - Colluvium,,,5.51,,,,,0.12,2.24
HLEF-19-232,58.39552,-134.65585,180,,76,3Cr,backslope,Gravina Sedimentary,Slate - Colluvium,,,,,,,,0.086,0.97
HLEF-19-233,58.39552,-134.65585,180,5,76,Oi,backslope,Gravina Sedimentary,Slate - Colluvium,125,0.18,,,,,,,
HLEF-19-234,58.39552,-134.65585,180,5,76,Oi,backslope,Gravina Sedimentary,Slate - Colluvium,125,0.21,,,,,,,
HLEF-19-235,58.39552,-134.65585,180,13,76,E/Bh,backslope,Gravina Sedimentary,Slate - Colluvium,138.5,0.34,,,,,,,
HLEF-19-236,58.39552,-134.65585,180,13,76,E/Bh,backslope,Gravina Sedimentary,Slate - Colluvium,138.5,0.29,,,,,,,
HLEF-19-237,58.39552,-134.65585,180,37,76,Bhs/Bs,backslope,Gravina Sedimentary,Slate - Colluvium,138.5,0.31,,,,,,,
HLEF-19-238,58.39552,-134.65585,180,37,76,Bhs/Bs,backslope,Gravina Sedimentary,Slate - Colluvium,138.5,0.37,,,,,,,
HLEF-19-239,58.39552,-134.65585,180,73,76,2BC1,backslope,Gravina Sedimentary,Slate - Colluvium,138.5,0.51,,,,,,,
HLEF-19-240,58.39552,-134.65585,180,80,76,Buried O horizon,backslope,Gravina Sedimentary,Slate - Colluvium,,,,,,,,,
HLEF-19-241,58.34226,-134.47922,150,3,56,Oe,backslope,Taku sedimentary,Slate/Phyllite - Colluvium,125,0.21,4.9,,,,,0.694,17.811
HLEF-19-242,58.34226,-134.47922,150,28,56,A ,backslope,Taku sedimentary,Slate/Phyllite - Colluvium,138,0.27,4.93,,,,,0.18,2.99
HLEF-19-243,58.34226,-134.47922,150,62,56,2Bs,backslope,Taku sedimentary,Slate/Phyllite - Colluvium,138,0.58,5.38,,,,,0.08,1.17
HLEF-19-244,58.34226,-134.47922,150,152+,56,2BC/Cr,backslope,Taku sedimentary,Slate/Phyllite - Colluvium,,,5.82,,,,,0.03,0.49
HLEF-19-245,58.34226,-134.47922,150,,56,,backslope,Taku sedimentary,Slate/Phyllite - Colluvium,,,,,,,,0.014,1.287
HLEF-19-246,58.34226,-134.47922,150,3,56,Oe,backslope,Taku sedimentary,Slate/Phyllite - Colluvium,125,0.25,,,,,,,
HLEF-19-247,58.34226,-134.47922,150,3,56,Oe,backslope,Taku sedimentary,Slate/Phyllite - Colluvium,125,0.16,,,,,,,
HLEF-19-248,58.34226,-134.47922,150,28,56,A ,backslope,Taku sedimentary,Slate/Phyllite - Colluvium,138.5,0.35,,,,,,,
HLEF-19-249,58.34226,-134.47922,150,28,56,A ,backslope,Taku sedimentary,Slate/Phyllite - Colluvium,138.5,0.19,,,,,,,
HLEF-19-250,58.34226,-134.47922,150,62,56,2Bs,backslope,Taku sedimentary,Slate/Phyllite - Colluvium,138.5,0.63,,,,,,,
HLEF-19-251,58.34226,-134.47922,150,62,56,2Bs,backslope,Taku sedimentary,Slate/Phyllite - Colluvium,138.5,0.52,,,,,,,
HLEF-19-252,58.65514,-134.83986,610,3,37,Oi/E,backslope,Tonalite,Tonalite - Colluvium,125,0.15,4.51,,,,,1.429,41.14
HLEF-19-253,58.65514,-134.83986,610,18,37,E/B,backslope,Tonalite,Tonalite - Colluvium,138,0.6,4.23,,,,,0.41,7.449
HLEF-19-254,58.65514,-134.83986,610,63,37,Bs1,backslope,Tonalite,Tonalite - Colluvium,138,0.55,4.78,,,,,0.205,5.636
HLEF-19-255,58.65514,-134.83986,610,90,37,Bs2,backslope,Tonalite,Tonalite - Colluvium,138,0.62,5.1,,,,,0.164,5.081
HLEF-19-256,58.65514,-134.83986,610,110+,37,2Cr,backslope,Tonalite,Tonalite - Colluvium,,,5.23,,,,,0.024,0.971
HLEF-19-257,58.65514,-134.83986,610,3,37,Oi/E,backslope,Tonalite,Tonalite - Colluvium,125,0.15,,,,,,,
HLEF-19-258,58.65514,-134.83986,610,18,37,E/B,backslope,Tonalite,Tonalite - Colluvium,138.5,0.6,,,,,,,
HLEF-19-259,58.65514,-134.83986,610,63,37,Bs1,backslope,Tonalite,Tonalite - Colluvium,138.5,0.57,,,,,,,
HLEF-19-260,58.65514,-134.83986,610,63,37,Bs1,backslope,Tonalite,Tonalite - Colluvium,138.5,0.54,,,,,,,
HLEF-19-261,58.65514,-134.83986,610,90,37,Bs2,backslope,Tonalite,Tonalite - Colluvium,138.5,0.59,,,,,,,
HLEF-19-262,58.65514,-134.83986,610,90,37,Bs2,backslope,Tonalite,Tonalite - Colluvium,138.5,0.65,,,,,,,
HLEF-19-263,58.65514,-134.83986,610,110+,37,2R,backslope,Tonalite,Tonalite - Colluvium,,,,,,,,0,0.034
HLEF-19-264,58.38607,-134.61224,140,14,2,Oe,ridgetop,Gravina volcanic,Volcanic ,,,3.67,,,,,1.209,45.853
HLEF-19-265,58.38607,-134.61224,140,19,2,E,ridgetop,Gravina volcanic,Volcanic ,138,0.67,3.95,,,,,0.201,4.687
HLEF-19-266,58.38607,-134.61224,140,23,2,Bh,ridgetop,Gravina volcanic,Volcanic ,138,0.61,4.49,,,,,0.203,2.932
HLEF-19-267,58.38607,-134.61224,140,48,2,2Bhs/Bs,ridgetop,Gravina volcanic,Volcanic ,138,0.59,4.86,,,,,0.119,3.787
HLEF-19-268,58.38607,-134.61224,140,50,2,2C,ridgetop,Gravina volcanic,Volcanic ,,,4.93,,,,,0.048,2.324
HLEF-19-269,58.38607,-134.61224,140,50+,2,2Cr,ridgetop,Gravina volcanic,Volcanic ,,,,,,,,0.002,0.023
HLEF-19-270,58.38607,-134.61224,140,14,2,Oe,ridgetop,Gravina volcanic,Volcanic ,,,,,,,,,
HLEF-19-271,58.38607,-134.61224,140,14,2,Oe,ridgetop,Gravina volcanic,Volcanic ,,,,,,,,,
HLEF-19-272,58.38607,-134.61224,140,19,2,E,ridgetop,Gravina volcanic,Volcanic ,138.5,0.61,,,,,,,
HLEF-19-273,58.38607,-134.61224,140,19,2,E,ridgetop,Gravina volcanic,Volcanic ,138.5,0.72,,,,,,,
HLEF-19-274,58.38607,-134.61224,140,23,2,Bh,ridgetop,Gravina volcanic,Volcanic ,138.5,0.65,,,,,,,
HLEF-19-275,58.38607,-134.61224,140,23,2,Bh,ridgetop,Gravina volcanic,Volcanic ,138.5,0.57,,,,,,,
HLEF-19-276,58.38607,-134.61224,140,48,2,2Bhs/Bs,ridgetop,Gravina volcanic,Volcanic ,138.5,0.61,,,,,,,
HLEF-19-277,58.38607,-134.61224,140,48,2,2Bhs/Bs,ridgetop,Gravina volcanic,Volcanic ,138.5,0.58,,,,,,,
HLEF-19-278,58.3866,-134.61078,90,10,60,Oe,backslope,Gravina volcanic,Volcanic - Colluvium,125,0.18,3.79,,,,,1.082,46.983
HLEF-19-279,58.3866,-134.61078,90,14,60,E,backslope,Gravina volcanic,Volcanic - Colluvium,138,0.6,4.05,,,,,0.181,3.45
HLEF-19-280,58.3866,-134.61078,90,20,60,Bh,backslope,Gravina volcanic,Volcanic - Colluvium,138,0.64,3.99,,,,,0.313,9.01
HLEF-19-281,58.3866,-134.61078,90,60,60,Bs1,backslope,Gravina volcanic,Volcanic - Colluvium,138,0.64,4.97,,,,,0.104,3.271
HLEF-19-282,58.3866,-134.61078,90,105,60,Bs2,backslope,Gravina volcanic,Volcanic - Colluvium,138,0.9,5.27,,,,,0.041,1.348
HLEF-19-283,58.3866,-134.61078,90,158,60,2BC,backslope,Gravina volcanic,Volcanic - Colluvium,,,5.48,,,,,0.01,0.42
HLEF-19-284,58.3866,-134.61078,90,158+,60,2C,backslope,Gravina volcanic,Volcanic - Colluvium,,,,,,,,0,0.003
HLEF-19-285,58.3866,-134.61078,90,85,60,,backslope,Gravina volcanic,Volcanic - Colluvium,,,,,,,,,
HLEF-19-286,58.3866,-134.61078,90,150,60,,backslope,Gravina volcanic,Volcanic - Colluvium,,,,,,,,,
HLEF-19-287,58.3866,-134.61078,90,10,60,Oe,backslope,Gravina volcanic,Volcanic - Colluvium,125,0.17,,,,,,,
HLEF-19-288,58.3866,-134.61078,90,10,60,Oe,backslope,Gravina volcanic,Volcanic - Colluvium,125,0.2,,,,,,,
HLEF-19-289,58.3866,-134.61078,90,14,60,E,backslope,Gravina volcanic,Volcanic - Colluvium,138.5,0.65,,,,,,,
HLEF-19-290,58.3866,-134.61078,90,14,60,E,backslope,Gravina volcanic,Volcanic - Colluvium,138.5,0.55,,,,,,,
HLEF-19-291,58.3866,-134.61078,90,20,60,Bh,backslope,Gravina volcanic,Volcanic - Colluvium,138.5,0.72,,,,,,,
HLEF-19-292,58.3866,-134.61078,90,20,60,Bh,backslope,Gravina volcanic,Volcanic - Colluvium,138.5,0.57,,,,,,,
HLEF-19-293,58.3866,-134.61078,90,60,60,Bs1,backslope,Gravina volcanic,Volcanic - Colluvium,138.5,0.61,,,,,,,
HLEF-19-294,58.3866,-134.61078,90,60,60,Bs1,backslope,Gravina volcanic,Volcanic - Colluvium,138.5,0.68,,,,,,,
HLEF-19-295,58.3866,-134.61078,90,105,60,Bs2,backslope,Gravina volcanic,Volcanic - Colluvium,138.5,0.92,,,,,,,
HLEF-19-296,58.3866,-134.61078,90,105,60,Bs2,backslope,Gravina volcanic,Volcanic - Colluvium,138.5,0.89,,,,,,,
HLEF-19-297,58.38681,-134.6257,90,10,55,O,backslope,Gravina Sedimentary,Slate/Phyllite - Colluvium,125,0.12,3.91,,,,,1.825,45.611
HLEF-19-298,58.38681,-134.6257,90,16,55,E,backslope,Gravina Sedimentary,Slate/Phyllite - Colluvium,138,0.31,3.7,,,,,0.281,4.871
HLEF-19-299,58.38681,-134.6257,90,26,55,2Bh,backslope,Gravina Sedimentary,Slate/Phyllite - Colluvium,138,0.29,4.09,,,,,0.629,15.253
HLEF-19-300,58.38681,-134.6257,90,61,55,2Bhs/Bs,backslope,Gravina Sedimentary,Slate/Phyllite - Colluvium,138,0.3,4.69,,,,,0.201,5.803
HLEF-19-301,58.38681,-134.6257,90,92,55,2Bs/C,backslope,Gravina Sedimentary,Slate/Phyllite - Colluvium,138,0.25,4.86,,,,,0.158,3.68
HLEF-19-302,58.38681,-134.6257,90,110,55,2C,backslope,Gravina Sedimentary,Slate/Phyllite - Colluvium,,,,,,,,0.025,0.155
HLEF-19-303,58.38681,-134.6257,90,70,55,,backslope,Gravina Sedimentary,Slate/Phyllite - Colluvium,,,,,,,,,
HLEF-19-304,58.38681,-134.6257,90,10,55,O,backslope,Gravina Sedimentary,Slate/Phyllite - Colluvium,125,0.12,,,,,,,
HLEF-19-305,58.38681,-134.6257,90,10,55,O,backslope,Gravina Sedimentary,Slate/Phyllite - Colluvium,125,0.12,,,,,,,
HLEF-19-306,58.38681,-134.6257,90,16,55,E,backslope,Gravina Sedimentary,Slate/Phyllite - Colluvium,138.5,0.28,,,,,,,
HLEF-19-307,58.38681,-134.6257,90,16,55,E,backslope,Gravina Sedimentary,Slate/Phyllite - Colluvium,138.5,0.35,,,,,,,
HLEF-19-308,58.38681,-134.6257,90,26,55,2Bh,backslope,Gravina Sedimentary,Slate/Phyllite - Colluvium,138.5,0.29,,,,,,,
HLEF-19-309,58.38681,-134.6257,90,26,55,2Bh,backslope,Gravina Sedimentary,Slate/Phyllite - Colluvium,138.5,0.28,,,,,,,
HLEF-19-310,58.38681,-134.6257,90,61,55,2Bhs/Bs,backslope,Gravina Sedimentary,Slate/Phyllite - Colluvium,138.5,0.27,,,,,,,
HLEF-19-311,58.38681,-134.6257,90,61,55,Bhs/Bs,backslope,Gravina Sedimentary,Slate/Phyllite - Colluvium,138.5,0.33,,,,,,,
HLEF-19-312,58.38681,-134.6257,90,92,55,2Bs/C,backslope,Gravina Sedimentary,Slate/Phyllite - Colluvium,138.5,0.26,,,,,,,
