Sample #,IGSN parent #,IGSN daughter #,Samp Date,latitude,longitude,elev (ft),elev (m),slope %,sample type,site,locality,description,classification,min depth (cm),max depth (cm),Horizon,landform,Mapped Lithologic unit,Parent Material,NOTES,bulk density vol (cm3),bulk density (g/cm3),pH,soilmoisture%,om_perc,LOI %,sand_perc,silt_perc,clay_perc,rockfrag_perc,sand % (1000 - 2000 æm),sand % (500 - 1000 æm),sand % (250 - 500 æm), sand % (100 - 250 æm),sand % (50 -100 æm),silt % (2 - 20 æm),silt % (20 - 50 æm),clay % (<2 æm),Texture Class,Total Carbon %,Organic Carbon %,Nitrogen_ppm,Total Carbon pcnt,Organic Carbon pcnt,Total Nitrogen pcnt,Nitrogen ppm,Al2O3 (%),BaO (%),Ba (ppm),CaO (%),Cr2O3 (%),Fe2O3T (%),K2O (%),MgO (%),MnO (%),Na2O (%),Nb (ppm),P2O5 (%),SiO2 (%),SrO (%),Sr (ppm),TiO2 (%),Y (ppm),Zn (ppm),Zr (ppm),LOI (900C),LOI (1000C),bulk XRD,clay XRD,CEC,"Al, Fe, Si sequential extractions",BrayP %,fiber unrubbed %,fiber rubbed %,Thin sections,Plutonium,d13C,Archived in box at JFSL,Hue,Value,Chroma,additional colors listed,*chose dominant color where multiple colors exist in order to graphs
HLEF-17-14,,,5/16/2017,58.64722,-134.8428,2510,855,18,rock,HLEF,Site 3 - Schist Shoulder,Schist Pedon 1,Schist,34,34,R,shoulder,Taku,rock,,,,,,,,,,,,,,,,,,,,,,,45,,,,,12.6,0,,8.83,,16,0.12,6.98,0.39,3.11,,0.11,48.6,0.01,,1.24,,,73,0.43,,,,,,,,,,,,,,,,,
HLEF-17-15,,,5/16/2017,58.64722,-134.8428,2510,855,18,rock,HLEF,Site 3 - Schist Shoulder,Schist Pedon 1,Schist,34,34,R,shoulder,Taku,rock,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,0,,9.23,,19,0.2,5.7,0.39,2.44,,0.2,46.9,0.01,,1.78,,,105,0.79,,,,,,,,,,,,,,,,,
HLEF-17-16,,,5/16/2017,58.64722,-134.8428,2510,855,18,soil,HLEF,Site 3 - Schist Shoulder,Schist Pedon 1,Lithic Cryosaprist,0,8,Oi,shoulder,Taku,residuum,,,,3.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HLEF-17-17,,,5/16/2017,58.64722,-134.8428,2510,855,18,soil,HLEF,Site 3 - Schist Shoulder,Schist Pedon 1,Lithic Cryosaprist,8,18,Oe,shoulder,Taku,residuum,,,,3.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HLEF-17-18,,,5/16/2017,58.64722,-134.8428,2510,855,18,soil,HLEF,Site 3 - Schist Shoulder,Schist Pedon 1,Lithic Cryosaprist,18,28,Bw1,shoulder,Taku,residuum,,,,4.46,,30.2,,50.1,31.3,18.6,13.9,,,,,,,,,,11.727,11.821,5158,,,,,6.97,0.01,,4.21,,10.5,0.11,2.81,0.14,1.07,,0.19,34,0.01,,1.41,,,136,38.9,,,,,,,,,,,,,,,,,
HLEF-17-19,,,5/16/2017,58.64722,-134.8428,2510,855,18,soil,HLEF,Site 3 - Schist Shoulder,Schist Pedon 1,Lithic Cryosaprist,28,34,Bw2,shoulder,Taku,residuum,,,,3.98,,31.4,,58,23.8,18.1,26.2,,,,,,,,,,11.726,11.579,5032,,,,,9.27,0.02,,4.62,,13.7,0.24,3.34,0.16,1.5,,0.23,35.2,0.01,,1.16,,,118,30.7,,,,,,,,,,,,,,,,,
HLEF-17-21,,,5/17/2017,58.63859,-134.85918,2394,816,0,db,HLEF,Site 4 - Schist Cliff,Schist Pedon 2,Lithic Cryohemist,0,5,Oi,ridgetop,Taku,residuum,,112,0.11,4.38,75.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HLEF-17-22,,,5/17/2017,58.63859,-134.85918,2394,816,0,soil,HLEF,Site 4 - Schist Cliff,Schist Pedon 2,Lithic Cryohemist,8,13,Cr1,ridgetop,Taku,residuum,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.2,0.07,,0.45,,8.18,2.68,3.33,0.16,2.55,,0.25,57.6,0.02,,1.21,,,224,5,,,,,,,,,,,,,,,,,
HLEF-17-23,,,5/17/2017,58.63859,-134.85918,2394,816,0,soil,HLEF,Site 4 - Schist Cliff,Schist Pedon 2,Lithic Cryohemist,13,17,Cr2,ridgetop,Taku,residuum,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.3,0.09,,0.47,,11.9,3.36,4.23,0.28,1.7,,0.32,48.5,0.02,,1.41,,,249,6.77,,,,,,,,,,,,,,,,,
HLEF-17-24,,,5/17/2017,58.63859,-134.85918,2394,816,0,soil,HLEF,Site 4 - Schist Cliff,Schist Pedon 2,Lithic Cryohemist,80,80,R,ridgetop,Taku,residuum,,,,,,,,,,,,,,,,,,,,,,,77,,,,,18.9,0.08,,1.01,,8.97,2.5,4.73,0.14,2.92,,0.26,54.2,0.02,,1.38,,,205,3.81,,,,,,,,,,,,,,,,,
HLEF-17-25,,,5/17/2017,58.63859,-134.85918,2394,816,0,soil,HLEF,Site 4 - Schist Cliff,Schist Pedon 2,Lithic Cryohemist,0,5,Oi,ridgetop,Taku,residuum,,,,4.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HLEF-17-26,,,5/17/2017,58.63859,-134.85918,2394,816,0,soil,HLEF,Site 4 - Schist Cliff,Schist Pedon 2,Lithic Cryohemist,5,8,Oe,ridgetop,Taku,residuum,,,,4.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HLEF-17-27,,,5/17/2017,58.63859,-134.85918,2394,816,0,rock,HLEF,Site 4 - Schist Cliff,Schist Pedon 2,Lithic Cryohemist,17,17,R,ridgetop,Taku,residuum,,,,,,,,,,,,,,,,,,,,,,,104,,,,,17.5,0.09,,0.33,,7.56,3.45,3.17,0.12,1.45,,0.22,60.8,0.01,,1.11,,,199,3.84,,,,,,,,,,,,,,,,,
HLEF-17-28,,,5/17/2017,58.6333,-134.86679,2202,750,85,rock,HLEF,above Site 5,Gravina - Phyllite outcrop,Phyllite,,,R,outcrop,Gravina,rock,,,,,,,,,,,,,,,,,,,,,,,278,,,,,16.3,0.11,,1.79,,10.3,2.68,2.95,0.28,1.96,,0.17,58.9,0.05,,0.87,,,120,5.07,,,,,,,,,,,,,,,,,
HLEF-17-29,,,5/17/2017,58.63278,-134.8658329,1413,431,85,rock,HLEF,Site 5 - Well 1,Gravina outcrop above Well 1 pedon,Phyllite,,,R,outcrop,Gravina,rock,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.3,0.07,,0.84,,6.03,2.27,2.47,0.16,2.87,,0.17,64.6,0.03,,0.77,,,135,4.54,,,,,,,,,,,,,,,,,
HLEF-17-30,,,5/17/2017,58.63278,-134.8658329,1413,431,85,soil,HLEF,Site 5 - Well 1,Gravina Pedon 1 - Well 1 S-facing slope,Typic Cryorthod,0,3,Oi,backslope,Gravina,colluvium,,112,0.07,3.79,71.7,,,,,,,,,,,,,,,,,,,48.23,,1.39,13900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HLEF-17-31,,,5/17/2017,58.63278,-134.8658329,1413,431,85,db,HLEF,Site 5 - Well 1,Gravina Pedon 1 - Well 1 S-facing slope,Typic Cryorthod,0,3,Oi,backslope,Gravina,colluvium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HLEF-17-32,,,5/17/2017,58.63278,-134.8658329,1413,431,85,soil,HLEF,Site 5 - Well 1,Gravina Pedon 1 - Well 1 S-facing slope,Typic Cryorthod,3,8,Oe,backslope,Gravina,colluvium,,,,3.82,,,,,,,,,,,,,,,,,,,,37.381,,1.16,11620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5YR,2.5,1,,
HLEF-17-33,,,5/17/2017,58.63278,-134.8658329,1413,431,85,soil,HLEF,Site 5 - Well 1,Gravina Pedon 1 - Well 1 S-facing slope,Typic Cryorthod,8,13,Bh,backslope,Gravina,colluvium,no bulk samp left,,,3.56,,43.7,,60.7,16.3,23,22.6,,,,,,,,,,14.569,14.651,7101,14.334,,0.69,6940,9.79,0.03,,0.64,,8.21,0.9,1.37,0.16,0.87,,0.39,37.1,0.02,,0.61,,,102,39.7,,,,,,,,,,,,,5YR,3,3,,
HLEF-17-34,,,5/17/2017,58.63278,-134.8658329,1413,431,85,soil,HLEF,Site 5 - Well 1,Gravina Pedon 1 - Well 1 S-facing slope,Typic Cryorthod,13,19,Bhs1,backslope,Gravina,colluvium,no bulk samp left,,,4.28,,34.4,,64.1,16.9,19,61,,,,,,,,,,8.027,8.152,1950,8.222,,0.23,2260,14.6,0.04,,0.82,,11.2,1.43,1.86,0.24,0.89,,0.27,38.6,0.02,,0.7,,,108,30.1,,,,,,,,,,,,,7.5YR,3,4,,
HLEF-17-35,,,5/17/2017,58.63278,-134.8658329,1413,431,85,soil,HLEF,Site 5 - Well 1,Gravina Pedon 1 - Well 1 S-facing slope,Typic Cryorthod,19,35,Bs/E,backslope,Gravina,colluvium,no bulk samp left,,,4.39,,20.7,,49.8,35.3,14.9,56.3,,,,,,,,,,4.999,5.03,1151,4.947,,0.12,1240,14.5,0.04,,0.86,,8.64,1.52,1.85,0.17,1.33,,0.23,51.6,0.02,,0.81,,,122,18.4,,,,,,,,,,,,,7.5YR,5,1,,
HLEF-17-36,,,5/17/2017,58.63278,-134.8658329,1413,431,85,soil,HLEF,Site 5 - Well 1,Gravina Pedon 1 - Well 1 S-facing slope,Typic Cryorthod,35,42,Bhs2,backslope,Gravina,colluvium,no bulk samp left,,,4.7,,16.3,,70,19.8,10.2,57.4,,,,,,,,,,3.987,4.034,1093,3.991,,0.12,1190,17.1,0.04,,0.99,,11.3,1.13,3.2,0.33,1.51,,0.24,41.6,0.03,,0.7,,,86,21,,,,,,,,,,,,,5YR,4,6,,
HLEF-17-37,,,5/17/2017,58.63278,-134.8658329,1413,431,85,soil,HLEF,Site 5 - Well 1,Gravina Pedon 1 - Well 1 S-facing slope,Typic Cryorthod,42,60,Bw1,backslope,Gravina,colluvium,no bulk samp left,,,4.81,,14.2,,71.9,19.5,8.6,70.3,,,,,,,,,,2.054,2.084,674,2.234,,0.08,840,16.9,0.04,,0.96,,9.58,1.46,3.34,0.32,2.31,,0.24,52.4,0.03,,0.75,,,116,11.4,,,,,,,,,,,,,7.5YR,3,4,,
HLEF-17-38,,,5/17/2017,58.63278,-134.8658329,1413,431,85,soil,HLEF,Site 5 - Well 1,Gravina Pedon 1 - Well 1 S-facing slope,Typic Cryorthod,60,100,Bw2,backslope,Gravina,colluvium,,,,4.95,,12.7,,68.1,24,7.9,78.7,,,,,,,,,,2.068,2.084,755,2.267,,0.09,910,17.3,0.05,,1.49,,10.7,1.41,4.05,0.4,1.83,,0.26,46.9,0.04,,0.87,,,97,14.1,,,,,,,,,,,,,7.5YR,4,6,,
HLEF-17-39,,,5/18/2017,58.64056,-134.86728,1935,659,,rock,HLEF,Gravina/Taku contact,Gravina rock outcrop ,sandstone,,,rock,backslope,Gravina,rock,,,,,,,,,,,,,,,,,,,,,,,375,,,,,17.3,0.03,,3.8,,13.3,1.33,5.08,0.25,2.43,,0.31,49.8,0.03,,1.19,,,88,5.92,,,,,,,,,,,,,,,,,
HLEF-17-40,,,5/18/2017,58.64452,-134.86932,1543,526,,rock,HLEF,Site 6 - Gravina/Taku contact,Gravina rock outcrop in creek,sandy siltstone,,,rock,backslope,Gravina,rock,,,,,,,,,,,,,,,,,,,,,,,72,,,,,19.6,0.04,,7.25,,8.58,1.86,2.16,0.14,2.79,,0.15,51.7,0.13,,1.27,,,127,2.77,,,,,,,,,,,,,,,,,
HLEF-17-41,,,5/18/2017,58.64247,-134.87283,1431,488,48,soil,HLEF,Site 8 - Gravina N-facing slope,Gravina Pedon 2 - N-facing slope,Typic Cryaquod,48,55,2C,backslope,Gravina,till,,,,5.13,,9.45,,51,39.1,9.9,6.52,,,,,,,,,,1.011,0.998,351,,,,,16.3,0.09,,3.74,,6.49,1.29,2.5,0.1,2.78,,0.1,59,0.05,,0.79,,,142,5.98,,,,,,,,,,,,,,,,,
HLEF-17-42,,,5/18/2017,58.64247,-134.87283,1431,488,48,db,HLEF,Site 8 - Gravina N-facing slope,Gravina Pedon 2 - N-facing slope,Typic Cryaquod,0,4,Oi,backslope,Gravina,till,,112,0.14,3.66,77.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HLEF-17-43,,,5/18/2017,58.64247,-134.87283,1431,488,48,soil,HLEF,Site 8 - Gravina N-facing slope,Gravina Pedon 2 - N-facing slope,Typic Cryaquod,0,4,Oi,backslope,Gravina,till,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5YR,2.5,1,,
