Sample #,IGSN parent #,IGSN daughter #,Samp Date,latitude,longitude,elev (ft),elev (m),slope %,sample type,site,locality,description,classification,min depth (cm),max depth (cm),Horizon,landform,Mapped Lithologic unit,Parent Material,NOTES,bulk density vol (cm3),bulk density (g/cm3),pH,soilmoisture%,om_perc,LOI %,sand_perc,silt_perc,clay_perc,rockfrag_perc,sand % (1000 - 2000 æm),sand % (500 - 1000 æm),sand % (250 - 500 æm), sand % (100 - 250 æm),sand % (50 -100 æm),silt % (2 - 20 æm),silt % (20 - 50 æm),clay % (<2 æm),Texture Class,Total Carbon %,Organic Carbon %,Nitrogen_ppm,Total Carbon pcnt,Organic Carbon pcnt,Total Nitrogen pcnt,Nitrogen ppm,Al2O3 (%),BaO (%),Ba (ppm),CaO (%),Cr2O3 (%),Fe2O3T (%),K2O (%),MgO (%),MnO (%),Na2O (%),Nb (ppm),P2O5 (%),SiO2 (%),SrO (%),Sr (ppm),TiO2 (%),Y (ppm),Zn (ppm),Zr (ppm),LOI (900C),LOI (1000C),bulk XRD,clay XRD,CEC,"Al, Fe, Si sequential extractions",BrayP %,fiber unrubbed %,fiber rubbed %,Thin sections,Plutonium,d13C,Archived in box at JFSL,Hue,Value,Chroma,additional colors listed,*chose dominant color where multiple colors exist in order to graphs
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HLEF-18-01,,,5/16/2018,58.63025,-134.86491,951,290,,soil,HLEF,Well6.06,Gravina Pedon 4-Well6.06-Sslope,Typic Haplocryod,0,4,Oi,backslope,Gravina,colluvium,,,,4.15,73.6,62,62.5,,,,55.8,,,,,,,,,,,,,47.361,,1.63,16280,10.6,,590,1.87,0.01,3.71,0.97,1.07,0.09,1.88,<10,0.21,48.6,,286,0.61,16,54,167,,29.4,,,,,,,,,,,,10YR,2,2,,
HLEF-18-02,,,5/16/2018,58.63025,-134.86491,951,290,,soil,HLEF,Well6.06,Gravina Pedon 4-Well6.06-Sslope,Typic Haplocryod,4,7,E,backslope,Gravina,colluvium,,,,3.95,59.9,21.9,23.1,46.1,20.2,33.7,80.4,,,,,,,,,,,,,13.085,,0.46,4620,13.1,,537,1.53,<0.01,4.04,1.3,1.45,0.21,2.02,<10,0.2,61.9,,276,0.9,23,68,169,,I.S.,,,,,,,,,,,,10YR,5,1,,
HLEF-18-03,,,5/16/2018,58.63025,-134.86491,951,290,,soil,HLEF,Well6.06,Gravina Pedon 4-Well6.06-Sslope,Typic Haplocryod,7,10,Bh,backslope,Gravina,colluvium,,,,4.14,45.8,34,36.1,76,3.1,20.9,69.9,,,,,,,,,,,,,11.093,,0.49,4940,10.5,,226,0.91,0.01,9.53,0.54,1.49,0.19,1.11,<10,1.48,30.1,,214,0.52,17,144,77,,42.4,,,,,,,,,,,,10YR,2,1,,
HLEF-18-04,,,5/16/2018,58.63025,-134.86491,951,290,,soil,HLEF,Well6.06,Gravina Pedon 4-Well6.06-Sslope,Typic Haplocryod,10,28,Bs1,backslope,Gravina,colluvium,,,,5.07,34.9,17.5,20.4,70.4,3.3,26.3,86.8,,,,,,,,,,,,,7.761,,0.29,2940,15,,265,1.07,0.02,12.9,0.56,1.94,0.42,0.64,<10,1.3,24.7,,223,0.44,17,313,57,,40.4,,,,,,,,,,,,2.5YR,2.5,3,,
HLEF-18-05,,,5/16/2018,58.63025,-134.86491,951,290,,soil,HLEF,Well6.06,Gravina Pedon 4-Well6.06-Sslope,Typic Haplocryod,28,78,Bs2,backslope,Gravina,colluvium,,,,5.72,15.8,6.5,9.65,65.1,3.2,31.7,78.3,,,,,,,,,,,,,1.329,,0.06,630,18,,419,1.9,0.02,17.2,1.03,3.17,0.67,0.94,<10,0.78,37.7,,401,0.64,41,668,91,,19.8,,,,,,,,,,,,2.5YR,4,3,,
HLEF-18-06,,,5/16/2018,58.63025,-134.86491,951,290,,soil,HLEF,Well6.06,Gravina Pedon 4-Well6.06-Sslope,Typic Haplocryod,78,128,Bs3,backslope,Gravina,colluvium,,,,5.79,15.2,5.38,8.21,73.2,3.9,22.9,80.6,,,,,,,,,,,,,1.095,,0.06,590,17.9,,423,1.94,0.02,17.8,1.09,3.32,0.77,0.93,<10,0.86,36.6,,402,0.66,43,699,82,,18.2,,,,,,,,,,,,2.5YR,3,3,,
HLEF-18-07,,,5/16/2018,58.63025,-134.86491,951,290,,soil,HLEF,Well6.06,Gravina Pedon 4-Well6.06-Sslope,Typic Haplocryod,128,+,C,backslope,Gravina,colluvium,,,,6,33.8,6.66,8.38,8.8,55.1,36.1,77.9,,,,,,,,,,,,,1.222,,0.07,710,14.9,,377,1.51,0.01,7.39,0.81,1.6,0.24,1.36,<10,0.41,60.3,,280,1.02,31,142,153,,12.3,,,,,,,,,,,,2.5Y,8,2,,
HLEF-18-09,,,5/16/2018,58.63025,-134.86491,951,290,,rock,HLEF,Well6.06,Gravina Pedon 4-Well6.06-Sslope,Gravina - phyllite,,,R,backslope,Gravina,rock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HLEF-18-10,,,5/23/2018,58.63709,-134.85884,2198,670,30,soil,HLEF,Pit1 - Taku shoulder,Taku shoulder pit,Typic Haplocryod/Cryaquod,0,6,Oi,shoulder,Taku,colluvium,,,,3.91,79.1,,,,,,,,,,,,,,,,,,,30.813,,0.966,9660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HLEF-18-11,,,5/23/2018,58.63709,-134.85884,2198,670,30,soil,HLEF,Pit1 - Taku shoulder,Taku shoulder pit,Typic Haplocryod/Cryaquod,6,8,E,shoulder,Taku,colluvium,,,,4.07,62.6,15.7,16.6,75.7,2.1,22.2,64.1,,,,,,,,,,,,,12.39,,0.57,5690,10.4,,593,2.04,<0.01,3.88,0.92,1.23,0.07,1.74,<10,0.21,46.8,,210,0.88,16,38,174,,29.3,,,,,,,,,,,,5YR,4,1,,
HLEF-18-12,,,5/23/2018,58.63709,-134.85884,2198,670,30,soil,HLEF,Pit1 - Taku shoulder,Taku shoulder pit,Typic Haplocryod/Cryaquod,8,13,Bh,shoulder,Taku,colluvium,,,,4.26,59.7,27.1,28.1,62.2,5,32.8,43.3,,,,,,,,,,,,,13.616,,0.648,6480,10.6,,471,2.2,0.01,6.51,0.81,1.56,0.07,1.58,<10,0.27,39.6,,179,0.92,15,42,156,,33.9,,,,,,,,,,,,5YR,2.5,1,,
HLEF-18-13,,,5/23/2018,58.63709,-134.85884,2198,670,30,soil,HLEF,Pit1 - Taku shoulder,Taku shoulder pit,Typic Haplocryod/Cryaquod,13,22,Bhs,shoulder,Taku,colluvium,,,,4.67,51.6,16.7,18.7,52.5,6.6,40.9,42.8,,,,,,,,,,,,,7.04,,0.28,2750,13.7,,477,2.09,0.01,12.9,0.89,2.23,0.09,1.44,<10,0.29,34.4,,176,0.9,16,68,143,,31.9,,,,,,,,,,,,7.5YR,4,4,,
HLEF-18-14,,,5/23/2018,58.63709,-134.85884,2198,670,30,soil,HLEF,Pit1 - Taku shoulder,Taku shoulder pit,Typic Haplocryod/Cryaquod,22,38,Bs1,shoulder,Taku,colluvium,,,,4.69,57,16.2,18.6,49.8,7,43.2,38.2,,,,,,,,,,,,,6.133,,0.21,2130,14.6,,541,2,0.01,12.2,0.98,2.28,0.11,1.44,<10,0.3,37.4,,172,0.98,17,78,144,,nd,,,,,,,,,,,,7.5YR,3,3,,
HLEF-18-15,,,5/23/2018,58.63709,-134.85884,2198,670,30,soil,HLEF,Pit1 - Taku shoulder,Taku shoulder pit,Typic Haplocryod/Cryaquod,38,62,Bs2,shoulder,Taku,colluvium,,,,4.74,48.1,12.1,13.8,51,8.1,40.9,50.4,,,,,,,,,,,,,5.676,,0.19,1860,15.5,,546,2.05,0.01,11.3,1.01,2.18,0.1,1.57,<10,0.29,40.2,,200,1.17,18,60,157,,24.5,,,,,,,,,,,,7.5YR,3,4,,
HLEF-18-16,,,5/23/2018,58.63709,-134.85884,2198,670,30,soil,HLEF,Pit1 - Taku shoulder,Taku shoulder pit,Typic Haplocryod/Cryaquod,62,79,BC,shoulder,Taku,colluvium,,,,4.79,23.4,2.67,4.96,57,6,37,30.6,,,,,,,,,,,,,,,,,16.1,,789,3.41,0.02,10,1.46,3.32,0.16,1.9,<10,0.23,52.8,,261,1.16,29,126,237,,8.44,,,,,,,,,,,,2.5Y,4,1,,
HLEF-18-17,,,5/23/2018,58.63709,-134.85884,2198,670,30,rock,HLEF,Pit1 - Taku shoulder,Taku shoulder pit,Taku schist,79,79,R,shoulder,Taku,rock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HLEF-18-18,,,5/23/2018,58.63434,-134.85104,1342,409,30,rock,HLEF,Pit1 - Taku shoulder,Taku shoulder pit,Taku schist/Tonalite,50,50,R,shoulder,Taku,rock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HLEF-18-19,,,5/23/2018,58.63434,-134.85104,1342,409,30,rock,HLEF,Pit1 - Taku shoulder,Taku shoulder pit,Taku schist,,,R,shoulder,Taku,rock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HLEF-18-20,,,5/23/2018,58.63434,-134.85104,1342,409,68,soil,HLEF,Pit3 - Taku backslope,Taku backslope pit,Typic Haplocryod,0,12,Oi,backslope,Taku,colluvium,,,,3.85,75.6,,,,,,,,,,,,,,,,,,,42.847,,1.229,12290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5YR,2.5,2,,
HLEF-18-21,,,5/23/2018,58.63434,-134.85104,1342,409,68,soil,HLEF,Pit3 - Taku backslope,Taku backslope pit,Typic Haplocryod,12,21,Bh,backslope,Taku,colluvium,,,,4.09,62.7,37,37.2,72.5,3.5,24,75.9,,,,,,,,,,,,,14.89,,0.56,5550,9.4,,153,2.17,0.01,12.7,0.31,1.56,0.05,0.87,<10,0.22,28,,156,1.05,<10,42,99,,41.8,,,,,,,,,,,,7.5R,2.5,2,,
HLEF-18-22,,,5/23/2018,58.63434,-134.85104,1342,409,68,soil,HLEF,Pit3 - Taku backslope,Taku backslope pit,Typic Haplocryod,21,39,Bhs1,backslope,Taku,colluvium,,,,4.34,48.6,21.4,22,,,,55.9,,,,,,,,,,,,,18.736,,0.62,6230,10.7,,217,2.07,0.01,10.5,0.39,1.43,0.05,1.06,<10,0.2,32.6,,149,0.96,11,35,116,,38.4,,,,,,,,,,,,2.5YR,2.5,2,,
HLEF-18-23,,,5/23/2018,58.63434,-134.85104,1342,409,68,soil,HLEF,Pit3 - Taku backslope,Taku backslope pit,Typic Haplocryod,39,50,E',backslope,Taku,colluvium,,,,4.48,51.8,12.1,13.4,53.7,10.9,35.4,51.9,,,,,,,,,,,,,5.622,,0.214,2140,10.4,,150,2.68,0.01,5.8,0.25,0.81,0.04,1.05,<10,0.11,59.8,,235,1.47,14,20,202,,15.5,,,,,,,,,,,,5Y,7,1,,
HLEF-18-24,,,5/23/2018,58.63434,-134.85104,1342,409,68,soil,HLEF,Pit3 - Taku backslope,Taku backslope pit,Typic Haplocryod,50,62,Bhs2',backslope,Taku,colluvium,,,,4.55,72.8,27.2,29.6,,,,76.9,,,,,,,,,,,,,12.526,,0.432,4320,13.9,,203,2.57,0.01,12.9,0.46,2.26,0.08,1.42,<10,0.14,43.1,,204,0.89,10,49,88,,24,,,,,,,,,,,,5YR,2.5,1,5YR 2.5/1 (60%) 10YR 5/4 (40%),
HLEF-18-25,,,5/23/2018,58.63434,-134.85104,1342,409,68,soil,HLEF,Pit3 - Taku backslope,Taku backslope pit,Typic Haplocryod,62,76,Bs',backslope,Taku,colluvium,,,,4.54,60,20.8,22.3,,,,58.3,,,,,,,,,,,,,8.815,,0.283,2830,13,,167,3.79,0.01,13.5,0.35,1.92,0.07,1.21,<10,0.14,41.8,,251,1.29,15,46,113,,22.1,,,,,,,,,,,,7.5YR,4,4,7.5YR 4/4 (50%) 7.5YR 3/3 (50%),
HLEF-18-26,,,5/23/2018,58.63434,-134.85104,1342,409,68,soil,HLEF,Pit3 - Taku backslope,Taku backslope pit,Typic Haplocryod,76,105,C',backslope,Taku,colluvium,,,,4.54,58.4,26.8,28.9,,,,78,,,,,,,,,,,,,11.591,,0.376,3760,13.9,,269,2.95,0.01,12,0.57,2.45,0.09,1.19,<10,0.21,32.1,,119,1.19,13,66,89,,32.7,,,,,,,,,,,,2.5YR,2.5,2,,
HLEF-18-27,,,5/23/2018,58.63434,-134.85104,1342,409,68,rock,HLEF,Pit3 - Taku backslope,Taku backslope pit,Taku schist,105,118,R,backslope,Taku,rock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HLEF-18-28,,,5/25/2018,58.65625,-134.88261,453,138,34,soil,HLEF,Pit5 - Gravina N slope Davies Creek,Davies Creek N slope Gravina,Typic Cryaquod,0,4,Oi,backslope,Gravina,till,,,,4.15,81.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5YR,2.5,1,,
HLEF-18-29,,,5/25/2018,58.65625,-134.88261,453,138,34,soil,HLEF,Pit5 - Gravina N slope Davies Creek,Davies Creek N slope Gravina,Typic Cryaquod,4,9,E,backslope,Gravina,till,,,,4.76,,6.08,6.59,,,,0,,,,,,,,,,,,,,,,,12.9,,777,2.46,0.01,3.03,1.05,0.89,0.05,2.18,<10,0.13,61.9,,307,1.42,17,24,303,,14.1,,,,,,,,,,,,7.5YR,4,2,,
HLEF-18-30,,,5/25/2018,58.65625,-134.88261,453,138,34,soil,HLEF,Pit5 - Gravina N slope Davies Creek,Davies Creek N slope Gravina,Typic Cryaquod,9,16,Bh,backslope,Gravina,till,,,,4.37,61.7,17.9,18.9,,,,0,,,,,,,,,,,,,,,,,11.7,,526,2.37,0.01,8.15,0.8,1.04,0.06,1.59,<10,0.26,40.1,,289,0.98,14,38,168,,34.9,,,,,,,,,,,,7.5YR,2.5,2,,
HLEF-18-31,,,5/25/2018,58.65625,-134.88261,453,138,34,soil,HLEF,Pit5 - Gravina N slope Davies Creek,Davies Creek N slope Gravina,Typic Cryaquod,16,35,Bhs,backslope,Gravina,till,,,,4.78,60.4,14.7,15.7,71.4,8.3,20.3,19.2,,,,,,,,,,,,,,,,,14,,563,2.14,0.01,6.26,0.86,1.1,0.05,1.68,<10,0.23,39.4,,260,1.08,15,37,220,,31.2,,,,,,,,,,,,7.5YR,3,3,"7.5YR 3/3 (60%), 10YR 4/3 (40%)",
HLEF-18-32,,,5/25/2018,58.65625,-134.88261,453,138,34,soil,HLEF,Pit5 - Gravina N slope Davies Creek,Davies Creek N slope Gravina,Typic Cryaquod,35,58,Bs1,backslope,Gravina,till,,,,4.96,53.4,12.6,13.8,,,,0,,,,,,,,,,,,,,,,,15,,542,2.15,0.01,7.36,0.85,1.28,0.06,1.56,<10,0.27,36.6,,242,0.96,18,51,186,,30.9,,,,,,,,,,,,10YR,3,2,,
HLEF-18-33,,,5/25/2018,58.65625,-134.88261,453,138,34,soil,HLEF,Pit5 - Gravina N slope Davies Creek,Davies Creek N slope Gravina,Typic Cryaquod,58,74,Bs2,backslope,Gravina,till,,,,5.01,35.9,8.5,10.2,71.5,2.8,25.7,33.1,,,,,,,,,,,,,,,,,17.5,,608,2.15,0.01,10.3,0.92,2.2,0.09,1.38,<10,0.34,34.5,,204,0.86,20,102,189,,30.9,,,,,,,,,,,,10YR,3,4,,
HLEF-18-34,,,5/25/2018,58.65625,-134.88261,453,138,34,soil,HLEF,Pit5 - Gravina N slope Davies Creek,Davies Creek N slope Gravina,Typic Cryaquod,74,83,C,backslope,Gravina,till,,,,5.05,,4.57,5.48,54.4,6.1,39.5,49.4,,,,,,,,,,,,,,,,,18,,962,3.21,0.01,8.14,1.28,2.53,0.22,1.9,<10,0.36,48.9,,283,0.84,25,120,221,,16.4,,,,,,,,,,,,10YR,4,1,,
HLEF-18-35,,,5/25/2018,58.65625,-134.88261,453,138,34,db,HLEF,Pit5 - Gravina N slope Davies Creek,Davies Creek N slope Gravina,Typic Cryaquod,0,4,Oi,backslope,Gravina,till,,72,0.16,,80.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HLEF-18-36,,,5/25/2018,58.65625,-134.88261,453,138,34,db,HLEF,Pit5 - Gravina N slope Davies Creek,Davies Creek N slope Gravina,Typic Cryaquod,0,4,Oi,backslope,Gravina,till,,210,0.19,,82.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HLEF-18-37,,,5/25/2018,58.65625,-134.88261,453,138,34,db,HLEF,Pit5 - Gravina N slope Davies Creek,Davies Creek N slope Gravina,Typic Cryaquod,9,16,Bh,backslope,Gravina,till,,112,0.55,,61.1,18.9,19.1,76.7,3.2,20.1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HLEF-18-38,,,5/25/2018,58.65625,-134.88261,453,138,34,db,HLEF,Pit5 - Gravina N slope Davies Creek,Davies Creek N slope Gravina,Typic Cryaquod,9,16,Bh,backslope,Gravina,till,,112,0.51,,62.4,20.1,20.3,66.8,2.7,30.5,0,,,,,,,,,,,,,,,,,13.7,,481,1.98,0.01,8.71,0.7,1.1,0.05,1.48,<10,0.27,33.5,,217,0.99,14,38,171,,36.3,,,,,,,,,,,,,,,,
HLEF-18-39,,,5/25/2018,58.65625,-134.88261,453,138,34,db,HLEF,Pit5 - Gravina N slope Davies Creek,Davies Creek N slope Gravina,Typic Cryaquod,16,35,Bhs,backslope,Gravina,till,,112,0.6,,60.4,23.4,24.8,72.7,2,25.3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HLEF-18-40,,,5/25/2018,58.65625,-134.88261,453,138,34,db,HLEF,Pit5 - Gravina N slope Davies Creek,Davies Creek N slope Gravina,Typic Cryaquod,16,35,Bhs,backslope,Gravina,till,,112,0.53,,60.4,22.6,23.1,64.9,2.9,32.2,0,,,,,,,,,,,,,,,,,14.2,,511,2.06,0.01,8.08,0.73,1.01,0.05,1.54,<10,0.26,35.7,,236,1.14,15,36,189,,33.5,,,,,,,,,,,,,,,,
HLEF-18-41,,,5/25/2018,58.65625,-134.88261,453,138,34,db,HLEF,Pit5 - Gravina N slope Davies Creek,Davies Creek N slope Gravina,Typic Cryaquod,35,58,Bs1,backslope,Gravina,till,,112,0.71,,54,13.5,14.1,67.6,3,29.4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HLEF-18-42,,,5/25/2018,58.65625,-134.88261,453,138,34,db,HLEF,Pit5 - Gravina N slope Davies Creek,Davies Creek N slope Gravina,Typic Cryaquod,35,58,Bs1,backslope,Gravina,till,,112,0.8,,52.7,15.5,15,61.2,3.5,35.3,0,,,,,,,,,,,,,,,,,14.1,,602,2.47,0.01,6.67,0.86,1.11,0.05,1.88,<10,0.22,45.2,,280,1.29,17,36,234,,24.3,,,,,,,,,,,,,,,,
HLEF-18-43,,,5/25/2018,58.65625,-134.88261,453,138,34,db,HLEF,Pit5 - Gravina N slope Davies Creek,Davies Creek N slope Gravina,Typic Cryaquod,58,74,Bs2,backslope,Gravina,till,,112,1.04,,39.5,9.52,10.4,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HLEF-18-44,,,5/25/2018,58.65625,-134.88261,453,138,34,db,HLEF,Pit5 - Gravina N slope Davies Creek,Davies Creek N slope Gravina,Typic Cryaquod,58,74,Bs2,backslope,Gravina,till,,112,1.13,,33.7,7.09,8.19,70.3,1.1,28.6,0,,,,,,,,,,,,,,,,,15.7,,697,2.73,0.01,8.59,0.96,1.92,0.08,1.94,<10,0.23,43.9,,269,0.83,21,68,252,,22.8,,,,,,,,,,,,,,,,
HLEF-18-45,,,5/25/2018,58.65625,-134.88261,453,138,34,db,HLEF,Pit5 - Gravina N slope Davies Creek,Davies Creek N slope Gravina,Typic Cryaquod,58,74,Bs2,backslope,Gravina,till,,112,1.11,,34.4,9.55,10.1,78.9,2.6,18.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HLEF-19-01,,,6/12/2019,58.66349,-134.871689,656,200,31,om,HLEF,Davie's Ridge South Slope Midslope,Pedon 01 - Gravina midslope Davie's Creek,Andic Humicryod,0,11,Oi,backslope,Gravina,colluvium,,125,0.18,3.8,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,13,,0.44,4420,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,box 1,,,,,
HLEF-19-02,,,6/12/2019,58.66349,-134.871689,656,200,31,soil,HLEF,Davie's Ridge South Slope Midslope,Pedon 01 - Gravina midslope Davie's Creek,Andic Humicryod,11,15,Bh,backslope,Gravina,colluvium,,138.5,0.18,4.36,,,,,,,,7.5197,7.8934,13.9067,17.1487,10.0237,17.8651,11.2278,14.4149,SL,,,,18.84,,0.77,7700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,box 1,10YR,2,1,,
HLEF-19-03,,,6/12/2019,58.66349,-134.871689,656,200,31,soil,HLEF,Davie's Ridge South Slope Midslope,Pedon 01 - Gravina midslope Davie's Creek,Andic Humicryod,15,21,Bs1,backslope,Gravina,colluvium,,138.5,0.36,5.12,,,,,,,,6.7268,9.7438,13.7473,18.1302,11.6889,18.0236,8.1092,13.8301,SL,,,,10.09,,0.4,3980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,box 1,7.5YR,2.5,2,,
HLEF-19-04,,,6/12/2019,58.66349,-134.871689,656,200,31,soil,HLEF,Davie's Ridge South Slope Midslope,Pedon 01 - Gravina midslope Davie's Creek,Andic Humicryod,21,30,Bs2,backslope,Gravina,colluvium,,,,5.38,,,,,,,,10.0094,11.3951,13.6275,16.4674,9.6761,15.7968,6.0072,17.0205,SL,,,,6.27,,0.26,2570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,box 1,7.5YR,2.5,3,,
HLEF-19-05,,,6/12/2019,58.66349,-134.871689,656,200,31,soil,HLEF,Davie's Ridge South Slope Midslope,Pedon 01 - Gravina midslope Davie's Creek,Andic Humicryod,30,38,2Bs,backslope,Gravina,colluvium,,138.5,0.43,5.42,,,,,,,,8.3934,14.7879,13.5064,14.261,11.1541,16.8995,5.8829,15.1148,SL,,,,6.61,,0.26,2570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,box 1,7.5YR,2.5,2,,
HLEF-19-06,,,6/12/2019,58.66349,-134.871689,656,200,31,soil,HLEF,Davie's Ridge South Slope Midslope,Pedon 01 - Gravina midslope Davie's Creek,Andic Humicryod,38,62,3Bs,backslope,Gravina,colluvium,,138.5,0.7,5.55,,,,,,,,29.7559,30.7226,18.7271,8.7125,2.9752,4.3309,2.3395,2.4362,S,,,,1.93,,0.08,840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,box 1,7.5YR,2.5,2,,
HLEF-19-07,,,6/12/2019,58.66349,-134.871689,656,200,31,soil,HLEF,Davie's Ridge South Slope Midslope,Pedon 01 - Gravina midslope Davie's Creek,Andic Humicryod,62,75,3Bs2,backslope,Gravina,colluvium,,138.5,0.74,5.36,,,,,,,,4.1692,9.9686,15.0289,19.7886,10.1242,19.6686,8.5855,12.6664,SL,,,,5.92,,0.21,2110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,box 1,7.5YR,2.5,3,,
HLEF-19-08,,,6/12/2019,58.66349,-134.871689,656,200,31,rock,HLEF,Davie's Ridge South Slope Midslope,Pedon 01 - Gravina midslope Davie's Creek,Andic Humicryod,75,75,3R,backslope,Gravina,rock,,,,,,,,,,,,,,,,,,,,,,,,0.1,,0.006,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HLEF-19-09,,,6/12/2019,58.66349,-134.871689,656,200,31,db,HLEF,Davie's Ridge South Slope Midslope,Pedon 01 - Gravina midslope Davie's Creek,Andic Humicryod,0,11,Oi,backslope,Gravina,colluvium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,box 1,,,,,
HLEF-19-10,,,6/12/2019,58.66349,-134.871689,656,200,31,db,HLEF,Davie's Ridge South Slope Midslope,Pedon 01 - Gravina midslope Davie's Creek,Andic Humicryod,0,11,Oi,backslope,Gravina,colluvium,,125,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,box 1,,,,,
HLEF-19-11,,,6/12/2019,58.66349,-134.871689,656,200,31,db,HLEF,Davie's Ridge South Slope Midslope,Pedon 01 - Gravina midslope Davie's Creek,Andic Humicryod,11,15,Bh,backslope,Gravina,colluvium,,138.5,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,
HLEF-19-12,,,6/12/2019,58.66349,-134.871689,656,200,31,db,HLEF,Davie's Ridge South Slope Midslope,Pedon 01 - Gravina midslope Davie's Creek,Andic Humicryod,11,15,Bh,backslope,Gravina,colluvium,,138.5,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,box 1,,,,,
HLEF-19-13,,,6/12/2019,58.66349,-134.871689,656,200,31,db,HLEF,Davie's Ridge South Slope Midslope,Pedon 01 - Gravina midslope Davie's Creek,Andic Humicryod,15,21,Bs1,backslope,Gravina,colluvium,,138.5,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,box 1,,,,,
HLEF-19-14,,,6/12/2019,58.66349,-134.871689,656,200,31,db,HLEF,Davie's Ridge South Slope Midslope,Pedon 01 - Gravina midslope Davie's Creek,Andic Humicryod,15,21,Bs1,backslope,Gravina,colluvium,,138.5,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,box 1,,,,,
HLEF-19-15,,,6/12/2019,58.66349,-134.871689,656,200,31,db,HLEF,Davie's Ridge South Slope Midslope,Pedon 01 - Gravina midslope Davie's Creek,Andic Humicryod,21,38,2Bs,backslope,Gravina,colluvium,db from Hor 4/5,138.5,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,box 1,,,,,
HLEF-19-16,,,6/12/2019,58.66349,-134.871689,656,200,31,db,HLEF,Davie's Ridge South Slope Midslope,Pedon 01 - Gravina midslope Davie's Creek,Andic Humicryod,21,38,2Bs,backslope,Gravina,colluvium,db from Hor 4/5,138.5,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,box 1,,,,,
